YearsExperience,Salary
2.65,48108
11.65,121103
5.47,71151
6.88,87812
23.58,225092
6.69,87455
4.44,67230
7.52,93390
1.43,41607
5.14,66102
12.69,131377
11.4,124829
11.73,132278
8.98,103834
9.81,102233
4.52,72974
13.9,143029
12.38,237628
9.61,108688
4.69,60995
10.5,121430
4.32,56023
12.12,133289
9.39,114454
5.92,70788
9.51,105858
4.96,79264
13.63,149934
3.58,59516
13.38,148827
4.06,72701
2.15,43485
11.15,124093
14.03,154583
1.01,39915
14.89,159043
6.81,77667
13.15,150483
1.17,29664
8.05,92351
9.52,117027
7.19,88450
11.66,135588
4.84,71568
1.58,187000
2.49,49891
9.22,111013
3.41,56825
12.73,137360
0.73,32045
9.94,113782
11.23,128428
7.03,88565
14.56,153630
11.46,120315
12.11,133918
10.97,119323
2.06,49715
11.58,132112
2.26,43765
10.16,33724
2.16,38680
13.87,179962
5.72,75669
8.8,109564
0.46,29153
14.78,155770
8.57,109700
1.41,27831
0.6,28801
8.31,102046
4.22,66480
4.69,79070
14.7,163632
11.2,126370
2.62,51668
7.01,87585
3.38,62791
10.79,122679
6.2,76930
0.83,41031
0.27,28821
6.72,89554
4.95,70433
11.38,127710
2.01,39780
4.88,80856
8.53,91240
8.55,105677
13.52,138591
13.48,148622
1.73,173310
5.81,69034
1.43,36817
2.69,47928
4.21,64113
10.89,125191
3.11,144050
2.16,41675
2.9,48966
5.89,65899
12.86,148019
14.38,140559
14.3,160150
0.32,33586
0.62,30660
12.2,131948
3.0,50618
8.59,98476
12.78,138679
14.07,155808
6.06,64767
6.63,79077
6.17,203675
13.75,148591
9.47,103253
14.88,152156
3.25,65546
7.61,94969
12.55,137860
2.46,46048
11.66,134655
3.4,57334
0.67,21055
13.02,141215
13.11,141346
14.98,161246
10.25,110251
5.69,79541
1.63,39673
5.6,71811
13.55,139014
8.09,101582
0.02,22262
0.96,35487
2.17,41230
4.93,73450
11.19,127767
4.48,66319
14.28,151536
14.05,158835
12.85,142806
11.25,122732
13.0,141954
13.36,143336
2.02,46416
6.91,82501
12.22,133573
14.4,151896
5.15,74026
2.81,46516
11.14,129152
2.29,46865
12.07,131139
4.42,68444
9.89,113101
2.99,54358
7.73,94089
8.32,103547
12.63,136716
10.24,112032
0.45,25671
3.97,61449
2.59,48927
3.67,50717
6.13,87768
3.74,63504
9.79,116346
4.79,61531
13.87,148566
7.0,94581
14.1,157037
7.57,90208
3.73,56948
9.87,108438
1.59,33156
7.14,89235
7.23,85758
2.36,48417
7.63,91428
2.45,40332
2.68,53753
4.25,55248
11.94,132662
2.3,43877
3.18,57486
1.57,39410
7.55,93538
3.12,52875
9.16,106714
5.11,62076
8.32,107867
3.45,45592
3.79,49937
2.1,38990
4.76,63227
3.18,54435
3.42,52501
3.04,49386
0.37,32107
11.28,118679
14.54,154854
0.54,31564
13.66,154180
3.91,57505
2.66,47136
3.81,60895
14.96,158654
9.41,102696
9.97,116454
13.44,147742
1.66,32356
3.68,60869
10.16,116060
8.85,265233
6.12,70311
0.71,31583
1.92,37087
2.59,53945
1.95,45709
10.64,120933
13.43,147531
3.72,58236
7.71,102105
5.0,69402
12.67,134353
6.97,80839
1.67,41084
14.32,155878
4.66,69726
8.3,104813
12.03,133026
0.43,15000
12.39,134743
11.99,136038
11.09,125800
10.27,116573
7.04,94919
5.91,81565
8.59,101711
7.81,95801
4.97,68560
7.69,95459
5.57,72869
6.25,78975
5.95,66865
8.85,113841
4.52,64327
9.79,111126
5.6,72636
6.24,78154
13.69,137660
10.99,117564
8.58,15000
7.36,85270
13.12,138140
6.6,84559
12.77,137842
1.49,43377
4.53,72403
1.27,35016
4.74,68571
30.7,162892
11.18,129074
9.05,102852
3.61,55925
6.07,74277
0.14,25178
7.43,85922
8.5,100014
1.97,45075
8.81,112228
10.7,119728
11.72,135273
14.77,154833
3.62,56673
10.47,119963
14.77,161541
5.96,77092
12.01,132029
14.29,151371
3.64,51043
10.4,127098
8.29,94323
14.67,149969
10.79,122162
10.67,118414
10.77,123661
1.78,37051
30.66,202414
2.3,47373
4.1,67426
2.33,45910
6.47,85540
4.59,73481
13.45,149854
14.49,150150
3.07,53692
1.71,33136
8.62,102649
4.72,63460
12.27,131115
7.8,100035
8.94,98853
5.42,70526
13.73,151807
28.0,280751
10.16,119094
9.99,115754
2.79,50865
7.14,94237
7.38,96278
1.0,36605
7.62,82224
1.27,38340
0.55,24653
3.55,49164
14.04,148744
5.65,78620
4.3,68708
2.42,41301
1.9,42610
1.79,46699
3.8,62034
12.0,132915
12.98,144377
0.75,32841
8.76,100963
9.79,110009
0.61,18806
7.05,94532
8.91,102910
12.87,140634
5.93,78290
4.38,63486
7.76,94609
8.81,111081
5.2,68624
1.35,37705
3.49,57894
9.8,109733
11.53,137624
1.8,41042
2.84,48506
14.84,158317
4.36,64460
12.79,140358
5.09,76048
13.18,139181
10.24,117999
6.75,88280
5.77,71268
9.45,107806
9.56,113851
12.44,132575
12.94,140653
12.78,144222
4.27,54614
8.59,106882
13.61,141119
2.44,43528
1.98,37807
8.82,103145
0.45,15000
4.43,62975
2.82,43214
2.24,163369
1.86,41654
1.41,37183
1.66,44508
0.73,29691
11.03,116487
14.55,157654
5.91,87722
5.89,68010
0.62,23636
6.8,83660
1.77,40630
1.89,42374
0.98,27601
11.53,127460
4.26,55301
13.82,140505
4.32,58699
4.89,73105
12.83,137606
7.72,96854
11.66,269269
8.86,107844
0.66,30365
6.14,74642
2.11,39313
8.49,112877
8.85,105233
5.75,88297
7.86,92564
2.97,15000
8.93,107869
1.83,39408
4.61,15000
5.41,73890
11.74,134173
8.48,106535
7.11,82776
7.72,91085
1.55,45091
6.98,76875
12.85,133769
6.29,71997
1.98,46449
9.52,111701
14.9,166378
6.65,77207
4.22,61787
6.56,82141
9.79,114865
10.95,125142
1.42,41242
2.07,43203
1.97,45857
6.21,75740
11.8,134333
9.13,96991
10.89,121716
25.12,255062
14.33,151281
1.55,31043
13.54,293919
4.84,69946
13.01,136134
3.69,55560
2.18,47866
2.75,51730
9.59,110086
13.46,133954
11.74,129567
0.32,27988
14.58,154138
13.74,147442
3.49,55264
7.74,92343
21.96,220388
2.33,42491
6.42,89960
8.92,106774
8.54,97745
10.75,226742
10.05,120385
12.76,137941
6.58,88870
1.81,44384
11.12,135123
3.66,47222
9.96,117395
3.44,55419
7.04,84744
12.8,142738
7.41,90895
12.74,130314
1.38,36335
11.61,130884
10.44,119595
14.04,146370
3.03,53731
9.74,114182
11.93,128965
9.29,102022
11.95,212465
12.34,304178
4.91,59141
7.16,90274
14.27,162976
8.87,111189
12.45,143930
0.19,26681
11.9,129211
0.07,26001
9.33,115006
0.54,32418
14.83,153916
7.8,100862
8.3,96911
7.96,101088
11.44,122168
13.31,149217
12.65,141971
6.31,79823
3.94,60439
6.82,90816
4.49,66537
4.57,59182
3.03,51374
1.08,27442
2.1,42050
4.17,64343
1.26,35504
11.0,127245
6.47,78166
6.81,92901
5.32,211128
5.51,80582
9.55,115037
1.62,39053
4.77,65274
13.32,135271
3.61,45277
14.8,270753
2.16,37925
13.46,152230
9.72,121400
8.91,99247
9.3,101878
4.0,61089
13.3,146561
2.56,50503
1.27,30350
0.35,35515
14.43,57048
5.46,73097
6.93,80467
11.76,126294
11.02,120903
10.73,125853
9.74,104469
9.75,115996
4.32,63146
11.37,128997
3.62,57595
6.13,84180
6.74,77700
0.83,35331
11.13,132926
3.03,51220
3.99,60506
